X,Y,Name,nid,parent_nid,serial,type,latitude,longitude,status
117.3616476,-8.6529334,Provinsi Nusa Tenggara Barat,18,0.0,52,1,-8.6529334,117.3616476,1
121.0793705,-8.6573819,Provinsi Nusa Tenggara Timur,19,0.0,53,1,-8.6573819,121.0793705,1
130.1452734,-3.2384616,Provinsi Maluku,30,0.0,81,1,-3.2384616,130.1452734,1
127.8087693,1.5709993,Provinsi Maluku Utara,31,0.0,82,1,1.5709993,127.8087693,1
133.1747162,-1.3361154,Provinsi Papua Barat,32,0.0,91,1,-1.3361154,133.1747162,1
138.0803529,-4.269928,Provinsi Papua,33,0.0,94,1,-4.269928,138.0803529,1
131.3611121,-7.5322642,Kabupaten Maluku Tenggara Barat,1706,30.0,8103,2,-7.5322642,131.3611121,1
132.7271587,-5.7512455,Kabupaten Maluku Tenggara,1707,30.0,8102,2,-5.7512455,132.7271587,1
129.4864411,-3.0166501,Kabupaten Maluku Tengah,1708,30.0,8101,2,-3.0166501,129.4864411,1
126.3498097,-7.7851588,Kabupaten Maluku Barat Daya,1775,30.0,8108,2,-7.7851588,126.3498097,1
