X,Y,Name,nid,parent_nid,serial,type,latitude,longitude,status
96.7493993,4.695135,Provinsi Aceh,1,0.0,11,1,4.695135,96.7493993,1
99.5450974,2.1153547,Provinsi Sumatera Utara,2,0.0,12,1,2.1153547,99.5450974,1
100.8000051,-0.7399397,Provinsi Sumatera Barat,3,0.0,13,1,-0.7399397,100.8000051,1
101.7068294,0.2933469,Provinsi Riau,4,0.0,14,1,0.2933469,101.7068294,1
102.4380581,-1.4851831,Provinsi Jambi,5,0.0,15,1,-1.4851831,102.4380581,1
103.914399,-3.3194374,Provinsi Sumatera Selatan,6,0.0,16,1,-3.3194374,103.914399,1
102.3463875,-3.5778471,Provinsi Bengkulu,7,0.0,17,1,-3.5778471,102.3463875,1
105.4068079,-4.5585849,Provinsi Lampung,8,0.0,18,1,-4.5585849,105.4068079,1
106.4405872,-2.7410513,Provinsi Kepulauan Bangka Belitung,9,0.0,19,1,-2.7410513,106.4405872,1
108.1428669,3.9456514,Provinsi Kepulauan Riau,10,0.0,21,1,3.9456514,108.1428669,1
103.615799,-1.596672,Kabupaten Muaro Jambi,929,5.0,505,2,-1.596672,103.615799,1
103.615799,-1.596672,Kota Jambi,934,5.0,510,2,-1.596672,103.615799,1
97.87216,2.3589459,Kabupaten Aceh Singkil,1327,1.0,1102,2,2.3589459,97.87216,1
97.3516558,3.3115056,Kabupaten Aceh Selatan,1328,1.0,1101,2,3.3115056,97.3516558,1
97.6982272,3.3088666,Kabupaten Aceh Tenggara,1329,1.0,1102,2,3.3088666,97.6982272,1
95.9885456,5.255443,Kabupaten Aceh Timur,1330,1.0,1103,2,5.255443,95.9885456,1
96.8350999,4.4482641,Kabupaten Aceh Tengah,1331,1.0,1104,2,4.4482641,96.8350999,1
96.1526985,4.4542745,Kabupaten Aceh Barat,1332,1.0,1105,2,4.4542745,96.1526985,1
95.4777811,5.4529168,Kabupaten Aceh Besar,1333,1.0,1106,2,5.4529168,95.4777811,1
97.2221421,4.9786331,Kabupaten Aceh Utara,1336,1.0,1108,2,4.9786331,97.2221421,1
97.3368031,3.0512643,Kabupaten Aceh Barat Daya,1337,1.0,1112,2,3.0512643,97.3368031,1
98.0028892,4.2328871,Kabupaten Aceh Tamiang,1339,1.0,1116,2,4.2328871,98.0028892,1
95.6457951,4.7873684,Kabupaten Aceh Jaya,1341,1.0,1114,2,4.7873684,95.6457951,1
95.3166667,5.55,Kota Banda Aceh,1344,1.0,1171,2,5.55,95.3166667,1
103.615799,-1.596672,Kabupaten Muaro Jambi,1411,5.0,1505,2,-1.596672,103.615799,1
103.615799,-1.596672,Kota Jambi,1416,5.0,1571,2,-1.596672,103.615799,1
103.035694,-4.3248409,Kabupaten Bengkulu Selatan,1432,7.0,1701,2,-4.3248409,103.035694,1
102.1632718,-3.4219555,Kabupaten Bengkulu Utara,1434,7.0,1703,2,-3.4219555,102.1632718,1
102.2591667,-3.7955556,Kota Bengkulu,1440,7.0,1771,2,-3.7955556,102.2591667,1
104.1930918,-5.1490396,Kabupaten Lampung Barat,1441,8.0,1804,2,-5.1490396,104.1930918,1
105.5474373,-5.5622614,Kabupaten Lampung Selatan,1443,8.0,1801,2,-5.5622614,105.5474373,1
105.6881788,-5.1134995,Kabupaten Lampung Timur,1444,8.0,1807,2,-5.1134995,105.6881788,1
105.3131185,-4.8008086,Kabupaten Lampung Tengah,1445,8.0,1802,2,-4.8008086,105.3131185,1
104.7520939,-4.8133905,Kabupaten Lampung Utara,1446,8.0,1803,2,-4.8133905,104.7520939,1
105.2666667,-5.45,Kota Bandar Lampung,1450,8.0,1871,2,-5.45,105.2666667,1
102.2591667,-3.7955556,Kabupaten Bengkulu Tengah,1761,7.0,1709,2,-3.7955556,102.2591667,1
